Ticker,Accounting_Assets,Accounting_Debt_D,Estimated_Shares_N,Market_Equity_Ve,Sigma_e,Calculated_Va,Calculated_Sigma_a,Distance_to_Default,Probability_of_Default,Probability_of_Default_BC
STLD,2308.0,2618.0,0.4994152478498957,1.0443353102901376,0.4710500232061795,2567.2010002275965,0.0001953204119312,2.076146905429546,0.0189401830583056,1.0
TELFY,226.283,237.506,2.132074446653616,1.079071595642806,0.2084002788213156,233.8821376652986,0.000961505625514,4.809077130655822,7.581434789940355e-07,1.0
TGIC,896.227,1599.801,16.66666703919573,7.33333345750969,3.32867066944958,94.11361066036508,1.5863457581555358,-2.5665138008230697,0.99486367313379,1.0
TMCV,1513.442,1467.0,12.417647027159385,0.1241764674960324,6.018781239224602,136.66162015748392,0.8167285324884082,-3.289942097620944,0.9994989599943508,1.0
TXT,177.991,103.84,52.1849976532746,84.85732502272731,0.3126057243438133,186.64111370176036,0.1421287971307119,4.195040388727226,1.3641148472923646e-05,2.7706649443861308e-05
TY,5095.197,4865.534,119.44845772211092,222.03455880844533,0.1533428769854065,4991.224530537294,0.0068214559032248,6.6674237644653545,1.3016630433957692e-11,7.747465713964307e-11
UG,652.4,573.0,78.24798730279564,183.99607787023425,0.5263967255361949,745.1653384694062,0.131755789363753,2.0799132636306856,0.0187667446170257,0.03877908368152695
UHAL,3805.666,3478.218,260.4225028953503,113.16048726923913,1.566855795825946,3216.3576928271927,0.147432701351518,-0.4689510924167125,0.6804477025582922,1.0
UPM,971.486,3963.423,100.00000223517505,0.8300000055879326,45.25546190042351,69.27690033765093,2.2044033703804584,-2.9288872440818823,0.9982991110007338,1.0
USA,2173.347,1378.969,417.28286235166496,777.3811738155496,0.1617525034383641,2129.0447581466924,0.0590609241582123,7.66315800749535,9.070796126616971e-15,1.89093523659197e-14
USMJ,690.304,520.217,42.52175,0.5230175077654414,14.937065475025982,4.820482320636834,3.090615186097151,-3.053541961277123,0.9988692145446986,1.0
VLY,2483.0,2370.0,17.654619991399844,78.58010281150014,0.8237731685707745,2394.1879902636274,0.0327452542840928,0.9044989664831946,0.1828654410723413,0.6061078539269307
VTR,1717.89,1402.902,103.36923955260237,114.52630718146266,0.7481472837572224,1484.087026991225,0.065213702039658,1.1367308158480895,0.127825416442979,0.30112387053286305
WAXS,1630.0,733.0,46.5974025974026,10.204831018850395,1.605408951239478,691.5348702827449,0.0746356603464363,-0.5495679376696622,0.7086921224881886,1.0
WGO,630.15,399.264,306.3394205713508,272.86509843440945,0.8551807777232265,656.8328776903483,0.3777008996067333,1.1820934970623749,0.1185843022016933,0.223015231828891
WIREX,276.733,386.427,0.38862455871748,1.1524750690027297,0.2130578919151363,379.9277077363597,0.0006462919695407,4.700363683712037,1.298492831073787e-06,1.0
WTBA,1655.553,1636.0,8.090747820359914,28.833923602127577,0.5742745869816065,1632.0829320368844,0.0106674681457329,1.6448078954920793,0.0500047167207455,1.0
XOXO,250.02,239.0,23.95652130454613,13.41565198766263,2.17070540277862,127.0582983245454,0.7259873072792011,-1.205732256285148,0.8860396282829743,1.0
